,url,title,author,rating,similarity,description
15824,https://bookmarks.reviews/reviews/provenance/,Provenance,Ann Leckie,3.3333333333333335,0.825428,"From the author of the Hugo, Nebula, and Arthur C. Clarke Award-winning novel Ancillary Justice, a cosy space opera set in the same universe about a young woman who, seeking the approval of her foster mother, takes a desperate gamble and finds herself in the middle of an interplanetary conspiracy."
8173,https://bookmarks.reviews/reviews/good-morning-midnight/,"Good Morning, Midnight",Lily Brooks-Dalton,2.8,0.8225075,"In this debut novel, an aging astronomer named Augustine refuses to abandon his work in the Arctic during an emergency evacuation and finds himself all alone but for a mysterious child, Iris, when the airwaves go silent. At the same time, Mission Specialist Sullivan is aboard the Aether on its return flight from Jupiter when Mission Control falls inexplicably silent, and she and her crewmates are forced to wonder if they will ever get home."
14968,https://bookmarks.reviews/reviews/only-human/,Only Human,Sylvain Neuvel,2.6,0.8189784,"Rose Franklin has devoted her adult life to solving the mystery she accidentally stumbled upon as a child: a huge metal hand buried beneath the ground outside Deadwood, South Dakota. The discovery set in motion a cataclysmic chain of events with geopolitical ramifications, as giant robots descended on Earth's cities. The mysterious invaders retreated, disappearing from the shattered planet . . . but they took the scientist and her crew with them. Now, after nearly ten years on another world, Rose returns to find a devastating new war—this time between humans."
5090,https://bookmarks.reviews/reviews/to-sleep-in-a-sea-of-stars/,To Sleep in a Sea of Stars,Christopher Paolini,3.4,0.8158357,A space voyager living her dream of exploring new worlds lands on a distant planet ripe for colonization before her discovery of a mysterious relic transforms her life and threatens the entire human race.
4672,https://bookmarks.reviews/reviews/architects-of-memory/,Architects of Memory,Karen Osborne,3.0,0.81557155,"Terminally ill salvage pilot Ash Jackson lost everything in the war with the alien Vai, but she plans to buy, beg, or lie her way out of corporate indenture and find a cure. When her crew salvages a genocidal weapon from a ravaged starship above a dead colony, Ash uncovers a conspiracy of corporate intrigue and betrayal that threatens to turn her into a living weapon."
11311,https://bookmarks.reviews/reviews/the-future-of-another-timeline/,The Future of Another Timeline,Annalee Newitz,3.5454545454545454,0.81201625,"In 1992, seventeen-year-old Beth finds herself in a car with her friend's abusive boyfriend dead in the backseat, agreeing to help her friends hide the body. In 2022, determined to use time travel to create a safer future, Tess has dedicated her life to visiting key moments in history and fighting for change. But rewriting the timeline isn’t as simple as editing one person or event. From the founding editor of io9, comes a story of time travel, murder, and unlikely allies separated by centuries, battling for a world in which anyone can change the future."
14420,https://bookmarks.reviews/reviews/the-stars-now-unclaimed/,The Stars Now Unclaimed,Drew Williams,3.4,0.8087582,"Jane Kamali, a handful of comrades from her past, and a telekinetic girl called Esa must fight their way through a galaxy full of dangerous conflicts, remnants of ancient technology, and other hidden dangers in hopes of preventing the Pulse from once again sending countless worlds back to the dark ages."
5358,https://bookmarks.reviews/reviews/the-relentless-moon-a-lady-astronaut-novel/,The Relentless Moon: A Lady Astronaut Novel,Mary Robinette Kowal,3.625,0.80787617,"Kowal continues her Hugo and Nebula award-winning Lady Astronaut series with an exploration of Lady Astronaut Nicole Wargin, who is thrilled to be one of the moon's pioneer settlers. But she is less happy that her husband, the Governor of Kansas, is considering a run for President as riots and sabotage on Earth plague the space program."
12232,https://bookmarks.reviews/reviews/the-rise-and-fall-of-d-o-d-o/,The Rise and Fall of D.O.D.O.,Neal Stephenson and Nicole Galland,3.2857142857142856,0.8069861,"A collaborative near-future thriller combining history, science, magic, mystery, intrigue, and adventure. When Melisande Stokes, an expert in linguistics and languages, accidently meets military intelligence operator Tristan Lyons in a hallway at Harvard University, it is the beginning of a chain of events that will alter their lives and human history itself."
13605,https://bookmarks.reviews/reviews/the-lost-time-accidents/,The Lost Time Accidents,Jon Wray,3.0,0.8020879,"Haunted by a failed love affair and the darkest of family secrets, Waldemar 'Waldy' Tolliver wakes one morning to discover that he has been exiled from the flow of time. The world continues to turn, and Waldy is desperate to find his way back-a journey that forces him to reckon not only with the betrayal at the heart of his doomed romance but also the legacy of his great-grandfather's fatal pursuit of the hidden nature of time itself."
